City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
329,Kavaratti,IN,81.21,overcast clouds,10.5669,72.642,Green leaf
330,Ilulissat,GL,35.62,fog,69.2167,-51.1,Hotel Arctic
331,Cuiluan,CN,35.08,clear sky,47.72,128.648,Shuncheng Hotel
332,Ouesso,CG,71.38,light rain,1.6136,16.0517,ABENIE Hotel
333,Pevek,RU,31.96,overcast clouds,69.7008,170.3133,Severnoye Zoloto
334,Cascas,PE,75.61,overcast clouds,-7.4833,-78.8167,Hotel *ROSA ERMILA*
335,Alice Springs,AU,80.15,scattered clouds,-23.7,133.8833,Desert Palms Alice Springs
336,Baykalsk,RU,49.93,overcast clouds,51.5058,104.1469,"Otel' ""Mel'nitsa"""
337,Lompoc,US,68.14,light rain,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
338,North Platte,US,80.49,clear sky,41.1239,-100.7654,"Holiday Inn Express & Suites North Platte, an IHG Hotel"
339,Matara,LK,77.95,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
340,Namibe,AO,62.82,few clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
341,Puerto Leguizamo,CO,86.31,moderate rain,-0.1934,-74.7819,la casona de juancho
